id;name;station_type;wheelchair_access;parking;latitude;longitude
1;Optimized;PoliceStation;false;false;93687;80468
2;Place grow;Pharmacy;true;false;80168;89373
3;Home Bedfordshire Strategist;Pharmacy;true;true;17851;64733
4;facilitate;Hospital;true;false;11875;65281
5;quantifying invoice;Pharmacy;false;false;75120;99233
6;optical Car Course;Hospital;false;false;14247;25459
7;Liaison withdrawal payment;PoliceStation;false;false;3501;9089
8;optical Senior;PoliceStation;true;false;78065;64190
9;Buckinghamshire override Supervisor;Pharmacy;true;false;79915;28704
10;overriding optimize;Hospital;false;false;44590;30445
